Standards,Extracted Ion Mass (-0.3 +0.7),Retention Time,Area
Standard1_Vial1_Run1,73,1.313,13223058
,91,3.281,62865953
,78,1.842,17074346
,100,3.2,17146218
,,,
Standard1_Vial1_Run2,73,1.331,13936945
,91,3.299,77036137
,78,1.858,17363726
,100,3.217,17822874
,,,
Standard1_Vial1_Run3,73,1.336,13233195
,91,3.306,72660448
,78,1.865,17442001
,100,3.223,18128977
,,,
Standard1_Vial2_Run1,73,1.319,14306901
,91,3.291,67847488
,78,1.85,16930185
,100,3.208,17569413
,,,
Standard1_Vial2_Run2,73,1.303,13597888
,91,3.274,66299143
,78,1.831,16764926
,100,3.191,17927930
,,,
Standard1_Vial2_Run3,73,1.332,13124914
,91,3.301,59665519
,78,1.859,16568928
,100,3.22,16212124
,,,
Standard1_Vial3_Run1,73,1.307,11252959
,91,3.276,61015189
,78,1.836,13730517
,100,3.195,14296686
,,,
Standard1_Vial3_Run2,73,1.3,14437506
,91,3.266,69036036
,78,1.826,18762191
,100,3.185,17996845
,,,
Standard1_Vial3_Run3,73,1.33,15588960
,91,3.3,77636614
,78,1.857,20666824
,100,3.217,20080778
,,,
Standard1_Vial1_Run1,73,1.302,4383759
,91,3.272,30369580
,78,1.83,5934370
,100,3.189,17427002
,,,
Standard1_Vial1_Run2,73,1.305,4816071
,91,3.273,30392555
,78,1.834,6465376
,100,3.192,17866047
,,,
Standard1_Vial1_Run3,73,1.318,5146690
,91,3.289,37361502
,78,1.848,6668291
,100,3.207,19106885
,,,
Standard1_Vial2_Run1,73,1.321,4349104
,91,3.293,29722705
,78,1.849,5743244
,100,3.209,17128856
,,,
Standard1_Vial2_Run2,73,1.316,4277419
,91,3.285,29537627
,78,1.845,5562754
,100,3.203,15523657
,,,
Standard1_Vial2_Run3,73,1.327,3864409
,91,3.294,30365834
,78,1.854,5554147
,100,3.213,16160058
,,,
Standard1_Vial3_Run1,73,1.315,5048137
,91,3.281,31498329
,78,1.842,6252411
,100,3.201,17449136
,,,
Standard1_Vial3_Run2,73,1.326,4449285
,91,3.295,25170899
,78,1.853,5381105
,100,3.212,15456456
,,,
Standard1_Vial3_Run3,73,1.303,4021135
,91,3.272,29325023
,78,1.83,5756547
,100,3.189,15525624
,,,
Standard1_Vial1_Run1,73,1.306,1321888
,91,3.274,11895182
,78,1.833,2527976
,100,3.193,14843643
,,,
Standard1_Vial1_Run2,73,1.331,1759848
,91,3.3,13153277
,78,1.859,2741152
,100,3.218,17961444
,,,
Standard1_Vial1_Run3,73,1.303,1271539
,91,3.27,9850804
,78,1.829,2374863
,100,3.188,14301211
,,,
Standard1_Vial2_Run1,73,1.314,1690721
,91,3.283,12596323
,78,1.845,3000930
,100,3.203,17769602
,,,
Standard1_Vial2_Run2,73,1.341,1840681
,91,3.313,13696134
,78,1.868,2994768
,100,3.229,19545721
,,,
Standard1_Vial2_Run3,73,1.297,1247985
,91,3.266,11113593
,78,1.825,2128969
,100,3.184,14077331
,,,
Standard1_Vial3_Run1,73,1.291,1438641
,91,3.26,11625210
,78,1.818,2392716
,100,3.178,15814410
,,,
Standard1_Vial3_Run2,73,1.308,1514159
,91,3.276,10944911
,78,1.835,2530171
,100,3.194,15762862
,,,
Standard1_Vial3_Run3,73,1.323,1282975
,91,3.291,10185896
,78,1.849,2434284
,100,3.208,14406615
