Sample,73_Retention,73_Area,91_Retention,91_Area,78_Retention,78_Area,100_Retention,100_Area
s1_v1_run1,1.313,13223058,3.281,62865953,1.842,17074346,3.2,17146218
s1_v1_run2,1.331,13936945,3.299,77036137,1.858,17363726,3.217,17822874
s1_v1_run3,1.336,13233195,3.306,72660448,1.865,17442001,3.223,18128977
s1_v2_run1,1.319,14306901,3.291,67847488,1.85,16930185,3.208,17569413
s1_v2_run2,1.303,13597888,3.274,66299143,1.831,16764926,3.191,17927930
s1_v2_run3,1.332,13124914,3.301,59665519,1.859,16568928,3.22,16212124
s1_v3_run1,1.307,11252959,3.276,61015189,1.836,13730517,3.195,14296686
s1_v3_run2,1.3,14437506,3.266,69036036,1.826,18762191,3.185,17996845
s1_v3_run3,1.33,15588960,3.3,77636614,1.857,20666824,3.217,20080778
s2_v1_run1,1.302,4383759,3.272,30369580,1.83,5934370,3.189,17427002
s2_v1_run2,1.305,4816071,3.273,30392555,1.834,6465376,3.192,17866047
s2_v1_run3,1.318,5146690,3.289,37361502,1.848,6668291,3.207,19106885
s2_v2_run1,1.321,4349104,3.293,29722705,1.849,5743244,3.209,17128856
s2_v2_run2,1.316,4277419,3.285,29537627,1.845,5562754,3.203,15523657
s2_v2_run3,1.327,3864409,3.294,30365834,1.854,5554147,3.213,16160058
s2_v3_run1,1.315,5048137,3.281,31498329,1.842,6252411,3.201,17449136
s2_v3_run2,1.326,4449285,3.295,25170899,1.853,5381105,3.212,15456456
s2_v3_run3,1.303,4021135,3.272,29325023,1.83,5756547,3.189,15525624
s3_v1_run1,1.306,1321888,3.274,11895182,1.833,2527976,3.193,14843643
s3_v1_run2,1.331,1759848,3.3,13153277,1.859,2741152,3.218,17961444
s3_v1_run3,1.303,1271539,3.27,9850804,1.829,2374863,3.188,14301211
s3_v2_run1,1.314,1690721,3.283,12596323,1.845,3000930,3.203,17769602
s3_v2_run2,1.341,1840681,3.313,13696134,1.868,2994768,3.229,19545721
s3_v2_run3,1.297,1247985,3.266,11113593,1.825,2128969,3.184,14077331
s3_v3_run1,1.291,1438641,3.26,11625210,1.818,2392716,3.178,15814410
s3_v3_run2,1.308,1514159,3.276,10944911,1.835,2530171,3.194,15762862
s3_v3_run3,1.323,1282975,3.291,10185896,1.849,2434284,3.208,14406615
